TQS_SKU,TQSA_ASIN,TQS_Fnsku,SS_SKU,WSD_SKU,VE_SKU,Adrestia SKU,HG_SKU,K2(StarQualityBargain)_SKU,Label Desc.,Desc,Cat.,Price
7-100072801-1001-38620002,B00J1EW6OO,X000KK8MH9,ss_dec-ctl-001,SKULRED-HM9-3-C0P3-3LH,SKULRED-HM9-3-C0P3-3LH-VE,,,,PS3 LH Skull Dark Red,PS3皮面Skull Dark Red,PS3_Controller_Decal,1.5
7-100072801-1001-38620003,B00J1F1CZM,X000KK8N7D,ss_dec-ctl-005,DIGIGRN-HM1-8-C0P3-7LH,DIGIGRN-HM1-8-C0P3-7LH-VE,,,,PS3 LH Green Digicamo,PS3皮面Green Digicamo,PS3_Controller_Decal,1.5
7-100072801-1001-38620004,B00J1F22EW,X000KK8NAF,ss-dec-ctl-003,WEDBLK1-HM2-5-C0P3-8LH,WEDBLK1-HM2-5-C0P3-8LH-VE,,,,PS3 LH Weeds Black,PS3皮面Weeds Black,PS3_Controller_Decal,1.5
7-100072801-1001-38620005,B00J1F2GGQ,X000KK8NB9,ss-dec-ctl-012,CAMFLG-HM0-8-C0P3-8LH,CAMFLG-HM0-8-C0P3-8LH-VE,,,,PS3 LH Camouflage,PS3皮面Camouflage,PS3_Controller_Decal,1.5
7-100072801-1001-38620006,B00J1F34C6,X000KK8NCD,ss-dec-ctl-013,BLUEXP-HM6-0-C0P3-9LH,BLUEXP-HM6-0-C0P3-9LH-VE,,,,PS3 LH Blue Explosion,PS3皮面Blue Explosion,PS3_Controller_Decal,1.5
7-100072801-1001-38620007,B00J1F4DD0,X000KK8NHD,ss-dec-ctl-002,BLUDMN-HM5-7-C0P3-8LH,BLUDMN-HM5-7-C0P3-8LH-VE,,,,PS3 LH Blue daemon,PS3皮面Blue daemon,PS3_Controller_Decal,1.5
7-100072801-1001-38620008,B00J1F4UU6,X000KK8NI7,,WOODGRN-HM1-2-C0P3-2LH,WOODGRN-HM1-2-C0P3-2LH-VE,,,,PS3 LH Wood Grain,PS3皮面Wood Grain,PS3_Controller_Decal,1.5
7-100072801-1001-38620009,B00J1F6QR6,X000KK8NJV,,FLGSLNT-HM9-2-C0P3-0LH,FLGSLNT-HM9-2-C0P3-0LH-VE,,,,PS3 LH Stars Stripes,PS3皮面Stars & Stripes,PS3_Controller_Decal,1.5
7-100072801-1001-38620010,B00J1F7Q8E,X000KK8NKZ,ss-dec-ctl-015,BTLFLG1-HM6-2-C0P3-6LH,BTLFLG1-HM6-2-C0P3-6LH-VE,,,,PS3 LH Battle Stripes,PS3皮面Battle Torn Stripes,PS3_Controller_Decal,1.5
7-100072801-1001-38620011,B00J1F8NJU,X000KK8NMN,ss_dec-ctl-007,MONEY1-HM5-7-C0P3-0LH,MONEY1-HM5-7-C0P3-0LH-VE,,,,PS3 LH Big Ballin,PS3皮面Big Ballin,PS3_Controller_Decal,1.5
7-100072801-1001-38620012,B00J1FA4MO,X000KK8NNR,ss-dec-ctl-016,FLYLVN-HM0-6-C0P3-1LH,FLYLVN-HM0-6-C0P3-1LH-VE,,,,PS3 LH Butterfies,PS3皮面Lavender Butterfies,PS3_Controller_Decal,1.5
7-100072801-1001-38620013,B00J1FAPWS,X000KK8NXR,ss_dec-ctl-006,FLYPNK-HM7-3-C0P3-5LH,FLYPNK-HM7-3-C0P3-5LH-VE,,,,PS3 LH Pink Butterfly,PS3皮面Pink Butterfly,PS3_Controller_Decal,1.5
7-100072801-1001-68620001,B017HPH22Y,X000KK8R83,ss-dec-ctl-004,SMAN-HM9-0-C0P3-5LH,SMAN-HM9-0-C0P3-5LH-VE,,,,PS3 LH Widow MakerBlack,PS3皮面Widow Maker Black,PS3_Controller_Decal,1.5
9-HMPT9247-CPS3-98MONEYA,B001NND2EO,X000OQDU5D,C0P395-MONEYA-HMT771,MONEY2-HM1-8-C0P3-3HG,MONEY2-HM1-8-C0P3-3HG-VE,,,,PS3 LH Big Ballin,PS3手柄贴Big Ballin,PS3_Controller_Decal,1.5
9-HMPT1247-CPS3-72STARSTRIP,B001NN7AV0,X000OQDU5N,C0P339-STARSTRIP-HMT762,FLGHORZ-HM5-9-C0P3-0HG,FLGHORZ-HM5-9-C0P3-0HG-VE,,,,PS3 LH Stars N Stripes,PS3手柄贴Stars N Stripes,PS3_Controller_Decal,1.5
9-HMPT8247-CPS3-09WEED,B001NN9DC4,X000OQDU3Z,C0P367-WEED-HMT568,WEDBLK2-HM1-0-C0P3-0HG,WEDBLK2-HM1-0-C0P3-0HG-VE,,,,PS3 LH Weeds Black,PS3手柄贴Weeds Black,PS3_Controller_Decal,1.5
