==================================
===      ebay-tqs      ===
==================================
==================================
===      Amazon-wsd      ===
==================================
		0.832
JUWD-HM9-8-SOP317		1.248
EMOJI-HM7-5-HOVER-T161		2.288
DIGIPNK-HM18-8-COX327-LH8		0.312
ASINC-HM30-6-SOP395		1.248
SPIDMAN-TSION0-6-LIGTBAR92		0.7488
ASSC-HM10-5-SOP475		2.288
DIGIRED-HM83-8-COP458-HG9		0.312
FLYPNK-HM5-0-C0P3-2HG		0.312
HNDSPN-WHITE-XL5-3-TOY61		3.12
FRFLAG-HM86-9-SOP382		1.248
CAMFLG-HM0-8-C0P3-8LH		0.312
MINCFT-HM10-9-C0X333		0.312
BLUDMN-HM3-5-C0P4-9LH		0.312
BLUEFIRE-HM17-2-SOP473		2.288
GHOS-HM81-9-COX136-HG8		0.312
CODGO-HM96-9-SOX382		2.08
MINCFT-HM17-7-C0X108		0.312
INJUT-HM88-0-SOX387		2.08
SKLREAGHT-HM8-7-YETI-203036		1.248
DIABL-HM98-7-SOX16		2.08
GHOS-HM77-8-SOP483		2.288
2SMM-1-SPT-BLU62-1-KET		1.248
PNK-PS3CR-ZF93-6-SHLL89		2.08
FLGSLNT-HM2-5-C0P4-8LH		0.312
FIFA-HM95-9-SOP429		2.288
SKUNK-HM92-6-SOX388		2.08
VATBOY-HM18-7-SPS423		2.288
STARWAR-HM15-8-C0X126		0.312
WEDBLK-HM18-8-COX313-HG6		0.312
GTAV-HM7-3-SOX186		2.08
SLI-BTLFLG-HM1-3-PS4S55		2.3295999
GREY-MRTEAZZ-1-TEA-585		0.0
TORN-HM5-8-SOX398		2.08
BLU76WHT_PS3_SiSK_66LC59		0.832
BTLFLG-HM28-2-COP411-HG8		0.312
SKULRED-HM55-0-COX170-LH0		0.312
ANCBOTLGH-HM2-7-YETI-203092		1.248
DARTH-HM23-6-SOP426		2.288
BTLFLG1-HM8-1-C0X3-2LH		0.312
BLUFR-HM35-2-SOX369		2.08
RBOSTRIP-HM5-6-S0SW87		1.664
BLUFRE-HM2-7-HOVER-T161		2.288
MARIO-HM8-5-S0SW61		1.664
BLUEFIRE-HM88-9-SOX112		2.08
9PCBD-BLU-SRA2-7-BACE56		4.784
MINCFT-HM17-2-C0P423		0.312
GTAV-HM30-8-SOP379		1.248
DEDPOL-HM23-5-SPS433		2.288
KLZN-HM80-8-SOP45		2.288
WEED-HM79-3-SOX189		2.08
DFSTONE-AAA-7-ER005-063		0.624
BIKBL-RE-SILV-NHW6-0-SPOT61		0.4576
GOLDCOLR-SAR6-LEGIN20		2.496
COLOR50CM-RU-55-METE-557		7.904
